이름,등급(성),레벨,랭크,장비 수,"전용장비(장착시 1, 아닐시 0)",전용장비 레벨
히요리,5,157,16,4,1,160
유이,5,157,16,4,1,160
레이,5,157,16,4,1,160
미소기,5,157,16,4,1,160
마츠리,5,157,16,4,1,160
아카리,5,157,16,4,1,160
미야코,5,157,16,4,1,160
유키,5,157,16,4,1,160
안나,5,157,16,4,1,160
마호,6,157,16,4,1,160
리노,6,157,16,4,1,160
하츠네,5,157,16,4,1,160
나나카,5,157,16,4,1,160
카스미,5,157,16,4,1,160
미사토,5,157,16,4,1,160
스즈나,5,157,16,4,1,160
카오리,5,157,16,4,1,160
이오,6,157,16,4,1,160
미미,5,157,16,4,1,160
쿠루미,5,157,16,4,1,160
요리,5,157,16,4,1,160
아야네,5,157,16,4,1,160
스즈메,5,157,16,4,1,160
린,5,157,16,4,1,160
에리코,5,157,16,4,1,160
사렌,5,157,16,4,1,160
노조미,5,157,16,4,1,160
니논,5,157,16,4,1,160
시노부,5,157,16,4,1,160
아키노,5,157,16,4,1,160
마히루,5,157,16,4,1,160
유카리,6,157,16,4,1,160
쿄우카,5,157,16,4,1,160
토모,5,157,16,4,1,160
시오리,5,157,16,4,1,160
아오이,5,157,16,4,1,160
치카,5,157,16,4,1,160
마코토,5,157,16,4,1,160
이리야,5,157,16,4,1,160
쿠우카,5,157,16,4,1,160
타마키,5,157,16,4,1,160
쥰,5,157,16,4,1,160
미후유,5,157,16,4,1,160
시즈루,5,157,16,4,1,160
미사키,5,157,16,4,1,160
미츠키,5,157,16,4,1,160
리마,6,157,16,4,1,160
모니카,5,157,16,4,1,160
츠무기,5,157,16,4,1,160
아유미,5,157,16,4,1,160
루카,5,157,16,4,1,160
지타,5,157,16,4,1,160
페코린느,6,157,16,4,1,160
콧코로,6,157,16,4,1,160
캬루,6,157,16,4,1,160
무이미,5,157,16,4,1,160
아리사,5,157,16,4,1,160
카야,5,157,16,4,1,160
네네카,5,157,16,4,1,160
크리스티나,5,157,16,4,1,160
수페코,5,157,16,4,1,160
수코로,5,157,16,4,1,160
수즈메,5,157,16,4,1,160
수캬루,5,157,16,4,1,160
수마키,5,157,16,4,1,160
수후유,5,157,16,4,1,160
할노부,5,157,16,4,1,160
할푸딩,5,157,16,4,1,160
할사키,5,157,16,4,1,160
성치카,5,157,16,4,1,160
성루미,5,157,16,4,1,160
성야네,5,157,16,4,1,160
뉴요리,5,157,16,4,1,160
뉴이,5,157,16,4,1,160
신레이,5,157,16,4,1,160
발리코,5,157,16,4,1,160
발즈루,5,157,16,4,1,160
앤,5,157,16,4,1,160
루,5,157,16,4,1,160
글레어,5,157,16,4,1,160
오우카,5,157,16,4,1,160
오니논,5,157,16,4,1,160
렘,5,157,16,4,1,160
람,5,157,16,4,1,160
에밀리아,5,157,16,4,1,160
수즈나,5,157,16,4,1,160
수이오,5,157,16,4,1,160
수사렌,5,157,16,4,1,160
수코토,5,157,16,4,1,160
수오리,5,157,16,4,1,160
수마호,5,157,16,4,1,160
편오이,5,157,16,4,1,160
클로에,5,157,16,4,1,160
할쿄카,5,157,16,4,1,160
할소기,5,157,16,4,1,160
할미미,5,157,16,4,1,160
루나,5,157,16,4,1,160
성리스,5,157,16,4,1,160
성조미,5,157,16,4,1,160
성리야,5,157,16,4,1,160
뉴코로,5,157,16,4,1,160
뉴캬루,5,157,16,4,1,160
뉴즈메,5,157,16,4,1,160
마스미,5,157,16,4,1,160
마오리,5,157,16,4,1,160
프페코,5,157,16,4,1,160
