이름,등급(성),레벨,랭크,장비 수,"전용장비(장착시 1, 아닐시 0)",전용장비 레벨
히요리,5,151,15,5,1,150
유이,5,151,15,5,1,150
레이,5,151,15,5,1,150
미소기,5,151,15,5,1,150
마츠리,5,151,15,5,1,150
아카리,5,151,15,5,1,150
미야코,5,151,15,5,1,150
유키,5,151,15,5,1,150
안나,5,151,15,5,1,150
마호,5,151,15,5,1,150
리노,6,151,15,5,1,150
하츠네,5,151,15,5,1,150
나나카,5,151,15,5,1,150
카스미,5,151,15,5,1,150
미사토,5,151,15,5,1,150
스즈나,5,151,15,5,1,150
카오리,5,151,15,5,1,150
이오,6,151,15,5,1,150
미미,5,151,15,5,1,150
쿠루미,5,151,15,5,1,150
요리,5,151,15,5,1,150
아야네,5,151,15,5,1,150
스즈메,5,151,15,5,1,150
린,5,151,15,5,1,150
에리코,5,151,15,5,1,150
사렌,5,151,15,5,1,150
노조미,5,151,15,5,1,150
니논,5,151,15,5,1,150
시노부,5,151,15,5,1,150
아키노,5,151,15,5,1,150
마히루,5,151,15,5,1,150
유카리,6,151,15,5,1,150
쿄우카,5,151,15,5,1,150
토모,5,151,15,5,1,150
시오리,5,151,15,5,1,150
아오이,5,151,15,5,1,150
치카,5,151,15,5,1,150
마코토,5,151,15,5,1,150
이리야,5,151,15,5,1,150
쿠우카,5,151,15,5,1,150
타마키,5,151,15,5,1,150
쥰,5,151,15,5,1,150
미후유,5,151,15,5,1,150
시즈루,5,151,15,5,1,150
미사키,5,151,15,5,1,150
미츠키,5,151,15,5,1,150
리마,6,151,15,5,1,150
모니카,5,151,15,5,1,150
츠무기,5,151,15,5,1,150
아유미,5,151,15,5,1,150
루카,5,151,15,5,1,150
지타,5,151,15,5,1,150
페코린느,6,151,15,5,1,150
콧코로,6,151,15,5,1,150
캬루,6,151,15,5,1,150
무이미,5,151,15,5,1,150
아리사,5,151,15,5,1,150
카야,5,151,15,5,1,150
네네카,5,151,15,5,1,150
크리스티나,5,151,15,5,1,150
수페코,5,151,15,5,1,150
수코토,5,151,15,5,1,150
수즈메,5,151,15,5,1,150
수캬루,5,151,15,5,1,150
수마키,5,151,15,5,1,150
수후유,5,151,15,5,1,150
할노부,5,151,15,5,1,150
할푸딩,5,151,15,5,1,150
할사키,5,151,15,5,1,150
성치카,5,151,15,5,1,150
성루미,5,151,15,5,1,150
성야네,5,151,15,5,1,150
뉴요리,5,151,15,5,1,150
뉴이,5,151,15,5,1,150
신레이,5,151,15,5,1,150
발리코,5,151,15,5,1,150
발즈루,5,151,15,5,1,150
앤,5,151,15,5,1,150
루,5,151,15,5,1,150
글레어,5,151,15,5,1,150
오우카,5,151,15,5,1,150
오니논,5,151,15,5,1,150
렘,5,151,15,5,1,150
람,5,151,15,5,1,150
에밀리아,5,151,15,5,1,150
수즈나,5,151,15,5,1,150
수이오,5,151,15,5,1,150
수사렌,5,151,15,5,1,150
수코토,5,151,15,5,1,150
수오리,5,151,15,5,1,150
수마호,5,151,15,5,1,150
편오이,5,151,15,5,1,150
클로에,5,151,15,5,1,150
할쿄카,5,151,15,5,1,150
할소기,5,151,15,5,1,150
할미미,5,151,15,5,1,150
루나,5,151,15,5,1,150
성리스,5,151,15,5,1,150
성조미,5,151,15,5,1,150
성리야,5,151,15,5,1,150
뉴코로,5,151,15,5,1,150
뉴캬루,5,151,15,5,1,150
뉴즈메,5,151,15,5,1,150
마스미,5,151,15,5,1,150
마오리,5,151,15,5,1,150
프페코,5,151,15,5,1,150
